t,pwm=10000
0.0,169.995
0.004,165.645
0.008000001,161.8875
0.013,169.1475
0.017,171.825
0.021,170.82
0.025,167.25
0.029,166.26
0.034,167.13
0.038,168.0675
0.042,167.1525
0.139,158.9625
0.143,158.6175
0.147,158.2725
0.152,157.98
0.156,157.635
0.161,157.2675
0.165,156.945
0.17,156.5775
0.174,156.2625
0.263,149.8725
0.267,149.58
0.272,149.2575
0.277,148.89
0.282,148.5675
0.286,148.2225
0.291,147.975
0.377,142.365
0.382,142.02
0.387,141.6825
0.392,141.45
0.397,141.0825
0.402,140.79
0.406,140.535
0.49,135.5475
0.496,135.2925
0.552,132.09
0.604,129.3
0.661,126.3
0.716,123.5325
0.771,120.825
0.823,118.47
0.879,115.905
0.933,113.5275
1.067,108.0075
1.119,106.0425
1.189,103.41
1.242,101.5125
1.296,99.54
1.359,97.46249
1.408,95.9025
1.46,94.185
1.511,92.6775
1.563,91.005
1.618,89.47501
1.671,87.9375
1.725,86.4075
1.775,85.0275
1.913,81.5025
1.968,80.1525
2.022,78.825
2.083,77.385
2.149,75.89999
2.205,74.73
2.265,73.3575
2.314,72.42
2.364,71.46
2.415,70.4025
2.47,69.33
2.521,68.37
2.578,67.335
2.644,66.195
2.782,63.8325
2.836,62.9925
2.897,62.0025
2.958,61.11
3.013,60.285
3.067,59.49
3.123,58.7775
3.186,57.9075
3.243,57.06
3.298,56.355
3.35,55.71
3.412,54.975
3.467,54.2475
3.527,53.5575
3.676,51.84
3.736,51.2025
3.789,50.58
3.842,50.055
3.897,49.5075
3.952,48.96
4.006,48.4575
4.063,47.9025
4.12,47.355
4.174,46.8525
4.231,46.3275
4.285,45.8475
4.341,45.3225
4.4,44.91
4.553,43.6275
4.619,43.05
4.681,42.5925
4.75,42.045
4.807,41.655
4.87,41.1525
4.925,40.83
4.984,40.47
5.046,39.99
5.101,39.6225
5.161,39.255
5.225,38.9325
5.282,38.52
5.34,38.175
5.492,37.2375
5.547,36.9225
5.616,36.555
5.674,36.255
5.734,35.91
5.79,35.73
5.848,35.385
5.904,35.1075
5.961,34.725
6.018,34.6275
6.08,34.29
6.143,33.945
6.203,33.6675
6.26,33.4875
6.413,32.8425
6.473,32.5725
6.528,32.295
6.593,32.1375
6.648,31.8375
6.706,31.6125
6.766,31.3575
6.831,31.1775
6.889,30.9225
6.946,30.69
7.008,30.465
7.075,30.1875
7.134,30.0075
7.193,29.8725
7.348,29.25
7.413,29.0475
7.475,28.86
7.536,28.635
7.595,28.425
7.654,28.29
7.722,28.065
7.781,27.9675
7.841,27.72
7.899,27.555
7.957,27.33
8.015,27.195
8.078,26.985
8.139,26.8275
8.29,26.37
8.361,26.1375
8.428,25.98
8.488,25.815
8.549,25.7025
8.61,25.5225
8.673,25.3125
8.735,25.2
8.797,25.0425
8.858,24.8775
8.916,24.81
8.972,24.6525
9.036,24.51
9.097,24.285
9.252,24.0075
9.319,23.8275
9.38,23.7375
9.447,23.55
9.513,23.37
9.572,23.2125
9.632,23.07
9.693,22.98
9.758,22.845
9.823,22.7025
9.884,22.6125
9.949,22.455
10.011,22.3425
10.071,22.1775
10.221,21.9525
10.283,21.8325
10.348,21.72
10.407,21.6075
10.468,21.495
10.531,21.3975
10.595,21.195
10.664,21.105
10.724,21.0375
10.789,20.895
10.859,20.7375
10.926,20.715
10.992,20.5575
11.053,20.4375
11.216,20.1675
11.287,20.0925
11.354,19.98
